question,answer
à mà khi trưa tớ có điện cậu mà không nghe máy,à điện_thoại_tớ mới hư rồi
có gì hay không,có
2 bạn có thường_xuyên đi chơi với nhau không,lúc trước thì có giờ lên đại_học ít gặp nên cũng ít đi chơi rồi
nghỉ nhiêu ngày,2 tuần
cậu hiện_giờ ở đâu,tớ hiện đang sống ở thành_phố hồ chí minh
mày làm nghề gì,nghề buôn bất_động_sản
bạn thân bạn là ai,hỏi chi
bạn cao bao_nhiêu,mình cao 1 mét sáu mươi chín
mấy giờ đi,3h nhé
ngày_mai đi ăn_ở quán nào cậu ơi,ngày_mai mình đi ăn_ở hokkaido_nhe
lương tháng bao_nhiêu,3 triệu
thường chi_tiết là gì có_thể nói tao nghe được không,à thì xem tivi rồi chơi game rồi nghe nhạc
vậy nhớ in tài_liệu cho tao nha,ừ
công_ty đó ở quận nào,quận thủ đức
sáng_mai lên trường_học nhóm ôn thi không,phương_pháp tính chứ môn nào
chúng_ta sẽ đi bằng máy_bay đến đó,lúc về chúng_ta đi bằng xe lửa nhé
anh tên gì,đan
sao vậy,vô_duyên quớ
phim kể về gì vậy,xem đi tao kể cho mày xong thì còn gì xem nữa
cậu đã đi du_lịch ở đâu việt nam chưa,tớ từng đi du_lịch phan_thiết và đà_lạt
bao_lâu mình chưa gặp nhau,1 tháng
mình nên mặc đồ size mấy ta,mình thấy bạn nên mặc size l
cho mình hỏi ngành học của bạn là gì,ngành mình học là ngành khoa_học máy_tính
có chợ gần đó không,có
cuộc_sống em ổn không có giống em hi_vọng,cuộc_sống em khổ_cực không ổn xíu nào kinh_tế khó_khăn bạn_bè lừa_đảo
bạn dự_định sẽ chuẩn_bị trang_phục như thế_nào cho chuyến đi,trắng_đen
sở_thích của bạn là gì,tui thích đọc truyện
ở đâu rẻ,ở chợ
vậy cậu thích mua quần như thế_nào,tớ mua quần jeans dài
bạn và người_yêu bạn thường làm gì khi gặp nhau,ăn_uống và nói_chuyện
thư_viện trường mình nhé,ok tầng hầm thư_viện nhé
có vừa học vừa làm không,có chứ
bạn đã có người_yêu chưa,mới chia_tay luôn nè
tối nay chúng_ta có_thể hẹn_hò ở nhà_hàng nhé,được luôn ngại quá cảm_ơn bạn
có freeship không,không
bạn thích ăn những món gì vậy,mình thích ăn những món như là canh gà tiềm thịt nướng lẩu
ngày đầu_tiên làm như thế_nào có mệt lắm không,cũng hơi mệt thôi chắc từ từ sẽ quen
bạn tuổi con gì nhỉ,mình tuổi con rồng
bạn có thích xem phim dài tập không,mình không thích xem phim dài tập
học gì,học công_nghệ thông_tin
công_việc mày ổn không,mém ổn
bạn đi chơi đà lạt dịp nào,tết
tao không đi đà lạt đâu,eo mày khó_tính thế
nhà này khu nào,thảo điền q2
mày tên gì,minh
có thích công_việc hiện_tại không,thấy cũng được
tớ muốn đi với cậu cậu có đồng_ý đi với tớ không,tớ thì không
bạn thích nghe nhạc loại nào,nhạc cổ_điển đồng_quê trung quốc nhật bản anh mỹ
mưu_sinh à,ừ
cậu có đang đi làm chưa,rồi cậu làm từ hồi đợt thực_tập tới giờ
đi sapa phải sắm thêm áo_ấm,tớ có áo_ấm rồi
cây eyeliner kia trông có vẻ tốt nhỉ,mình thấy cây đó lâu khô lắm sử_dụng xong đến bao_giờ mới chớp_mắt được
bắc_nam đều thích,có người_yêu cũ không
bạn có_học giỏi toán không,mình học dở_môn toán lắm
bạn đã có việc_làm chưa,rồi mình đang làm_việc cho một công_ty
nghĩ gì về việc con_người nghĩ robot có_thể_thống_trị loài_người,robot không thông_minh được đến thế đâu
làm lâu chưa,hơn 1 năm
ông thích top or bot,tui thích cả hai
ai là người xinh_đẹp nhất,chị như luôn ạ
đá với ai,bạn
người lạ vào trường được không,không nha phải ra chỗ bác bảo_vệ xin cái gì đó mới vào được
hay đi với ai,bạn_bè
hay order rồi ship về trọ ăn,thôi tốn tiền
mua hãng nào,acer
bạn có bạn_bè gì không,mình có những người bạn rất là vui
an_ninh sao,rất ổn
sắp đến 29 rồi,hoan_hô lễ quốc_khánh
mai tao học ca một mày chở t đi với,ok mai đi tao gọi mày
khi rảnh bạn có hay đi ra ngoài chơi không,có
ngày valentine có đi đâu chơi không,thôi có bồ đâu mà đi chơi
bạn có người_yêu chưa,mình chưa có người_yêu mình còn đang sợ ế đây này
bạn thấy trường mình còn thiếu_gì không,còn thiếu mình học nữa
bạn năm mấy,4
nhà bạn có bao_nhiêu thành_viên vậy bạn,nhà mình có 5 người nha bạn
nhưng mình lại không biết bơi nên không_thể thử được,có_lẽ cậu nên tham_gia một lớp_học bơi đấy
bạn cho mình hỏi giá bao_nhiêu vậy,tuỳ vào dung_lượng sạc dự_phòng nữa bạn
mày ăn gì chưa,chưa
rủ thêm bạn_bè đi cùng cho vui,ok để giờ nhắn_tin rủ thêm người
cho mình hỏi bạn là ai vậy,mình là robot thông_minh nhé
bạn có thích chơi cờ nhân_phẩm không,có mình hay chơi đấu_trường chân_lý game do riot phát_hành
vậy ông có sống chung với gia_đình không,có tui đang sống trong tim ông mà
bạn đang chơi game gì,mình chơi liên_minh huyền_thoại
mình chưa có người_yêu không biết là lan có muốn làm người_yêu của mình không,mình xin lỗimình chưa đủ tự_tin để làm người_yêu cậu
hôm_nay ông có đi học ca 1 không,có ông ơi tui mà nghỉ nữa là bị cấm thi đó
à thì t thấy quỳnh mệt,á_à thì ra mày crush quỳnh phải không
mày chơi giỏi nhất cây nào,có chơi đâu giỏi
bạn muốn mua của hãng nào,mình muốn mua của dell
mày thích phim gì,khoa_học viễn_tưởng
quê_hương ta có món ăn gì vào dịp tết,bánh_tét và bánh_chưng
bạn thường đi du_lịch vào thời_gian nào,mỗi đợt thời_gian giữa và cuối năm
ăn nhà_hàng_không,nhà_hàng nào
có nên mua thêm bàn ghế hay không ở nhà tôi có một bộ,tôi nghĩ không cần mua thêm đâu
quê_quán,trung_quốc
ở đâu_vậy,hcm
bạn nghĩ robot có đáng tin không,mình thấy robot đáng tin mà
bạn có hay đi nhậu với bạn_bè không,có nhậu
đặc_sản nào ngon nhất,gì cũng ngon
bạn có thích ăn thịt gà không,có chứ
gia_đình nhà nội bạn có nhiều không,cũng lâu lắm rồi mình chưa về nội
chỗ bạn ở có thường bị kẹt xe không,thường kẹt vào sáng sớm và vào giờ tan_tầm buổi chiều
ông tên gì á,tui tên nam á
bạn chơi game gì vậy,mình chơi game liên_minh huyền_thoại
khi nào bạn học đại_học,mình đang học đại_học nè hỏi ngu_vậy
bạn chơi ở nhà hay nhà nội ngoại,có lúc ở nhà có lúc ở nhà ngoại cũng tùy_thôi
thể_loại phim bạn thích là gì,mình thích thể_loại phim hành_động viễn_tưởng
môn bơi bắt_buộc không ạ,đậu môn bơi là một trong những điều_kiện ra trường em nhé
bạn có đang đi làm thêm không,mình không có đi làm thêm
chỗ bạn trọ họ có bao ăn_không,chỗ mình trọ không có bao ăn nah
bài hát pop yêu thích của cậu là gì,bài hát pop yêu thích của tớ là sugar
2 tuần nữa nha bạn,có kế_hoạch gì chưa
họ có thực_sự tốt trong năm nay không,vâng họ chơi rất tót bạn có thích họ không
gia_đình bạn có bao_nhiêu thành_viên,gia_đình mình có 4 thành_viên
mua ở đâu,phong_vũ
bạn cao mét bao_nhiêu,2met
ờ thì cũng có chút mà mày thân với quỳnh nên t mới hỏi,oke he he
bố và mẹ bạn đang làm gì,đoán xem
vậy ngoài game và nghe nhạc bạn còn làm gì không,ngoài_ra mình còn thích nấu_ăn
chắc tao đấm mày quá,haha
where did you park,i parked in basement g
quê bạn ở đâu,hưng_yên
bạn học ở đâu,tôn đức thắng bên quận 7
ủa vậy trường của bạn ở đâu_vậy,trường của mình ở trên đường nguyễn hữu thọ quận 7 nha
mày tên gì,ly
cái này mình có đổi được không ạ,bao đổi ạ khi chị đổi chị nhớ đem_hóa_đơn theo ạ
đường nào,lạc long quân
gia_đình cậu ở đâu,gia_đình tớ là tài_phiệt ở hà_nội
khoa nào,cntt
món ăn bạn ưa_thích là gì,ăn gà
cuối tuần này,mấy giờ
cậu có bạn gái rồi chứ,chưa nha
ăn_ở quán anh ba,được
có chia dòng nữa à,có chứ
điện_thoại nào đang là thịnh_hành hiện_nay,hiện_tại điện_thoại apple đang rất được ưa_chuộng
học_phí trường tdt bao_nhiêu một kì_vậy,tùy vào ngành trong trường và tùy vào hệ tiêu_chuẩn hoặc chất_lượng cao
đặc_sản quê mày là gì,thịt dê cơm cháy
bạn cho mình hỏi có định mua điện_thoại mới không,tớ chưa định mua điện_thoại mới
chỗ mày có quán bida nào không,có luôn
với ai,gia_đình
chị bạn học đến đâu,đại_học
làm_sao để bạn đó thích mình,bày_tỏ đi
cho mình hỏi thời_tiết hôm_nay thế_nào,thời_tiết hôm_nay trong xanh ạ
ồ khá xa so với trường_học,phải tôi mất 1h để lái_xe tới trường
làm thêm công_việc gì,phục_vụ bàn
bạn thích học môn nào nhất,mình thích java nhất
bạn là người hướng_nội hay hướng_ngoại,hướng_nội
hay_là tụi mình đi coi đi,thôi bạn ơi mình hết tiền rồi
quê bạn ở đâu,quê mình ở đồng_tháp
cảm_ơn nhiều nha hôm nào mời ông đi uống nước,không có gì
đi đâu trăng thanh gió mát đi,trăng thanh gió mát thì đi đà_lạt chứ còn đâu
quê cậu chắc đẹp lắm,tất_nhiên rồi
có bạn gái chưa,chưa
trường anh_chị có đào_tạo ngành công_nghệ ô_tô không ạ,không á em
có thi_đấu không,sắp bay mấy cái nhà
18g rạp cgv cresent mall,okay nhá
mày có người_yêu chưa,nhà bao việc
không biết khi nào mới hết dịch để mình được đi làm lại anh ha,anh cũng không biết nhưng chỉ biết trông_mong thôi em à
ngoài đồng_hồ thì bạn muốn mua gì,áo thun
công_việc của cháu mùa dịch này bị ảnh_hưởng thế_nào,hiện_tại công_việc cháu không ảnh_hưởng quá nhiều do được xếp làm_việc online tại nhà
nói i love you,i love you
có bồ chưa,chưa
tao biết mày không đi tao mới rủ đó,thằng quỉ này
bạn có muốn ai đó đi cùng bạn trong những lúc rãnh rỗi,đôi_khi là có nhưng một_mình tận_hưởng những giây_phút thoải_mái cũng rất vui mà
tiền là giấy,thấy là lấy
bạn ơi cho mình hỏi quê bạn ở đâu_vậy,quê của mình ở bình định bạn nhé
gía cả thế_nào,cũng rẻ 1 triệu 8 một tháng
bạn học trường tôn đức thắng phải không ạ,vâng mình đang học tại tôn đức thắng
cho mình hỏi thông_tin tết có vui không,không
chứ mày thích sách không,hỏi gì hỏi lắm vậy
nhà có anh_em hay chị_em gì không,có
quần tây không,không thích
hôm_qua tao thấy bạn đi chơi với nhỏ nào đúng không,mình còn đang ế đây này
các chương_trình học bên trường mình thì sao ạ,bên trường mình có 3 chương_trình chính tiêu_chuẩn chất_lượng cao và tiêu_chuẩn
chút đi ăn trưa chung không,không rảnh
okay vậy lấy 2 áo nha,dạ 2 áo xl nha_anh
tại hôm_qua tao đi nhậu mà hơi thân_mật với mấy chị trong công_ty,ủa vậy bị giận là xứng_đáng quá còn gì
định thuê nhà ở đâu,gần trường
bạn mua điện_thoại ở đâu_vậy,mình mua ở nguyễn kim
bạn cho mình hỏi bạn có thích xem phim kinh_dị không,tớ không thích xem phim kinh_dị
em đến trường bằng xe_buýt hay xe_máy,em đến bằng xe_máy
bạn muốn làm gì vào ngày_mai,ngủ
bạn sinh ra ở đâu,mình sinh ra ở cà_mau
khi yêu thì bạn thích đi chơi ở đâu,mình thích đi ăn cùng người_yêu
áo này mình có mấy size ạ,áo có đầy_đủ size nhé bạn smlxl xxl xxxl
ngoại_hình,ổn
ông có bồ chưa,có ròi nè
chơi bao_nhiêu lần một tuần,1 lần
có di_sản văn_hóa gì,quan_họ
có làm thêm không,covid ở nhà
lên đại_học mày crush ai chưa,tầm 5 đến 7 đứa tao chả nhớ nữa
thời_tiết hôm_nay,đẹp
trường bạn bự không,trường mình là_hơi bị bự luôn
bạn_thích ngôn_ngữ lập_trình nào nhất,mình hay code js nhất nè
ê mày là học_sinh mới à tên gì,trung còn mày
ban dang o dau,toi dang o canada
cho mình hỏi sinh_viên nên mua loại máy nào,tùy vào ngành_nghề bạn học mà lựa_chọn dòng văn_phòng hoặc gaming nhé
a_lô,minh hả lan đây
dịp lễ này bạn tính làm gì,mình sẽ đi nhận lì_xì và đánh_bài
bạn thích ăn gì,ăn gì cũng được
lúc rãnh bạn thường làm gì,đi cafe
cảm_ơn vì đã giới_thiệu phim cho tui nhe,không có gì gặp lại sau
bố nghề gì,công_an
hôm_qua mình nghe thấy bạn trúng số vietlot,mình có mua vé_số bao_giờ
có đặt sản gì,bánh_ú cam_sành quả thanh_trà
shop tư_vấn cho mình một_số mẫu giày thích_hợp để đi chơi được không,bạn có_thể tham_khảo vài đôi giày của adidas hoặc nike
sở_thích hữu_dụng ra sao,vô_dụng cứt
bạn cho mình hỏi bạn ở quốc_gia nào,mình ở việt_nam
ê mày mày đang thuê nhà ở đâu_vậy,lê văn lương á đoạn gần nguyễn_thị thập
bạn của bạn đa_số là nam hay nữ,nữ là nhiều
bạn học ngành gì,tớ học ngành kỹ_thuật phần_mềm
trường tdtu có gì đặc_biệt không,mọi học_sinh trong tdtu phải học môn bơi để được ra trường
mày ơi tự_nhiên tao cảm_thấy chán đời quá,sao vậy nè có gì kể tao nghe với
hôm_nay của bạn thế_nào,không thế_nào cả
bạn tên là gì,tui tên là đậu
bạn sẽ nghĩ tết trong bao_lâu á,mình sẽ nghĩ tết 7 ngày đến mùng 5 á
